http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=70,Couleuvre d'eau,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=71,Tortue des bois,S2,G4,"vulnérable, mars 2005"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=72,Tortue géographique,S2,G5,"vulnérable, mars 2005"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=73,Tortue luth,SNA,G2,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=74,Tortue mouchetée,S1,G4,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=75,Tortue musquée,S1,G5,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=76,Tortue ponctuée,S1,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=77,Dard de sable,S2,G3,"menacé, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=78,"Éperlan arc-en-ciel, population du sud de l'estuaire du Saint-Laurent",S3,G5TNRQ,"vulnérable, mars 2005"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=79,Lamproie du Nord,S2S3,G4,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=80,Méné d'herbe,S3,G3,"vulnérable, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=81,Omble chevalier oquassa,S3S4,G5T2Q,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=82,Couleuvre tachetée,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=83,"Garrot d'Islande, population de l'Est",S3,G5T?,"vulnérable, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=84,Grive de Bicknell,S3,G4,"vulnérable, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=85,Hibou des marais,S3S4,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=86,Paruline à ailes dorées,S3,G4,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=87,Ours blanc,S2,G3G4,"vulnérable, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=88,Rainette faux-grillon boréale,S2,G5,susceptible d'être désignée espèce menacée ou vulnérable
